battery_power,battery_duration,clock_speed,n_cores,storage,ram,principal_camera,wifi,4G,weight,price,operating_system,brand
800,18,2.2,2,4,2GB,1,1,0,27,1334.153599615953,Android,Motorola
1000,66,0.5,2,32,2GB,4,0,1,81,1214.824487544301,iOS,Apple
500,20,0.5,4,32,2GB,2,0,1,520,1497.6454307663907,iOS,Apple
600,4,2.5,4,8,2GB,4,0,0,635,1372.1707922916366,iOS,Apple
1800,75,1.2,2,32,1GB,13,0,1,365,805.7885435772685,Android,Motorola
1800,360,0.5,1,16,1GB,3,0,0,203,557.1905137548395,Proprietario,Xiaomi
1800,13,1.7,8,8,2GB,4,1,1,261,229.7382245170836,Proprietario,Xiaomi
1900,95,0.5,4,16,0.512GB,4,1,0,414,1396.3586512415386,Android,LG
1400,40,0.5,8,32,1GB,8,0,0,1131,1132.1690295271505,Android,Xiaomi
500,16,0.6,4,8,0.512GB,2,0,1,703,216.57968454457978,Android,Asus
700,4,2.9,4,8,2GB,2,0,0,-158,1625.8861583805424,iOS,Apple
1500,8,2.2,8,32,2GB,5,1,1,448,2088.0109877308682,Proprietario,Samsung
1800,16,2.8,4,32,1GB,2,0,0,454,1758.1218830934195,Proprietario,LG
800,9,2.1,4,16,2GB,7,1,0,839,1120.1614557150785,Android,LG
1800,360,0.5,1,32,0.256GB,13,1,1,542,1822.1252834103584,Android,Xiaomi
700,35,1.0,2,32,0.512GB,3,1,0,-47,971.7649206128909,Proprietario,LG
800,20,0.5,8,8,2GB,1,1,1,375,1094.9597347200406,Android,Samsung
500,18,0.9,2,16,2GB,7,0,1,642,889.2876920272818,Proprietario,Xiaomi
1100,44,0.5,4,32,1GB,11,0,0,756,1943.5175908420006,iOS,Apple
600,30,0.5,4,16,2GB,4,1,0,711,1331.9750165164048,Android,LG
700,9,1.1,8,32,2GB,12,0,0,900,931.5282154261288,Android,Asus
1700,40,2.1,2,8,2GB,1,0,0,259,1489.3157293410075,Android,Xiaomi
1900,18,2.6,4,32,1GB,4,1,0,927,691.0908429271738,Android,Samsung
1600,19,2.8,2,32,1GB,4,0,1,878,1221.7932738222462,iOS,Apple
500,13,1.2,2,8,2GB,5,0,1,727,1330.3389982883016,iOS,Apple
900,8,1.4,8,32,2GB,4,1,1,664,449.63038118828956,iOS,Apple
500,7,1.6,4,32,2GB,7,1,1,565,98.85492907242929,Android,Asus
900,25,0.5,8,32,2GB,1,0,1,1068,1506.676311015755,Android,Asus
1400,43,1.6,2,32,2GB,12,1,1,557,1776.2632441253932,Android,Asus
800,32,0.5,4,16,0.256GB,3,1,0,318,1788.1348576431355,iOS,Apple
1500,42,0.5,8,4,2GB,12,1,0,511,1184.6188109061168,Android,Xiaomi
1500,37,0.5,8,32,0.256GB,16,1,0,702,2255.9744064451984,Android,Xiaomi
1300,144,0.9,1,32,2GB,3,1,1,255,909.388980186078,Android,Asus
1300,14,2.2,4,32,2GB,4,0,1,643,1029.610384188964,iOS,Apple
600,2,2.7,8,16,1GB,2,0,0,490,1230.6642145951594,Android,LG
700,6,1.3,8,32,1GB,16,0,0,3,1492.180401638047,Proprietario,Asus
500,5,2.3,4,32,2GB,1,1,0,198,1175.7364115843748,iOS,Apple
1700,53,1.6,2,4,2GB,6,0,1,674,803.5976547673285,Android,Samsung
700,5,2.0,4,8,2GB,16,1,1,337,1487.9778565225993,Android,Motorola
500,50,0.5,2,32,2GB,15,0,0,453,1173.0159731287285,Android,Xiaomi
1300,44,2.9,1,32,2GB,5,1,0,663,1508.6858027945464,iOS,Apple
1600,34,2.3,2,32,2GB,8,0,1,-418,1537.863447768667,iOS,Apple
1200,120,0.5,2,4,1GB,5,0,1,134,519.5712476325026,iOS,Apple
1600,53,1.0,2,32,1GB,5,0,1,469,283.48607107531427,iOS,Apple
1100,19,2.8,2,16,0.256GB,1,0,1,708,838.8417925553701,iOS,Apple
1500,17,2.9,2,16,1GB,12,1,0,252,631.1336644505241,iOS,Apple
1700,19,1.1,8,32,2GB,1,0,0,34,1445.9437264227095,Android,LG
1000,7,1.8,8,32,2GB,3,1,1,54,1257.0477815545855,Android,Samsung
500,2,2.6,8,32,1GB,2,1,1,282,964.1768702382694,Android,Xiaomi
500,2,2.1,8,64,2GB,9,0,0,83,692.3618345695627,Proprietario,LG
1500,16,3.0,2,8,2GB,2,1,1,558,926.7322072679863,iOS,Apple
1700,15,1.4,8,32,2GB,5,0,0,743,1642.54640823826,Android,Samsung
1600,53,1.5,2,32,2GB,8,0,1,789,1052.3399270633172,Android,Samsung
1400,24,1.9,2,16,1GB,1,1,1,260,1331.308020121991,Android,LG
1000,28,0.5,8,32,2GB,12,0,0,367,978.6594489671951,iOS,Apple
1900,30,2.1,2,32,2GB,10,0,1,965,1794.2862480618178,iOS,Apple
800,3,2.7,8,32,0.512GB,13,1,0,806,1891.4645172770406,iOS,Apple
900,23,1.3,2,32,2GB,4,1,1,466,1138.5223859412727,iOS,Apple
1700,56,0.5,4,32,2GB,8,0,0,703,1058.1465911229197,Proprietario,Motorola
1000,14,1.4,4,32,2GB,2,1,1,597,1098.4701797599835,Android,Asus
1400,15,3.0,2,8,1GB,3,0,0,381,2059.4314211148676,Android,Xiaomi
700,3,2.3,8,32,0.256GB,1,1,1,-161,743.0767978049506,Android,Asus
1100,45,1.2,2,32,0.256GB,12,0,1,279,1582.666134078677,iOS,Apple
1700,42,2.0,2,32,2GB,15,1,1,85,311.74853197836353,Android,Asus
700,8,2.6,2,8,2GB,2,0,1,199,1121.818753758101,Android,Xiaomi
600,10,1.9,2,32,2GB,13,0,1,665,1071.8156430173356,Android,Xiaomi
1300,65,0.5,4,32,2GB,11,0,1,715,1342.5183226645395,Android,Asus
1800,42,1.4,2,16,2GB,4,0,0,737,902.125329912521,Android,Samsung
1200,54,1.1,2,8,1GB,8,1,0,464,488.14239733314787,Android,Motorola
1100,18,1.5,4,32,2GB,4,0,1,72,716.9972220068619,Android,Samsung
1400,40,0.5,8,32,2GB,6,1,1,579,1137.8536362658833,iOS,Apple
1400,14,2.4,4,16,2GB,1,1,1,468,1029.5307976425952,Proprietario,LG
600,20,1.0,2,8,0.256GB,8,0,1,709,1146.293103144823,Android,Xiaomi
1000,83,1.2,1,32,2GB,3,1,0,803,1402.3322066740257,iOS,Apple
700,6,2.9,4,32,0.512GB,4,0,0,586,1524.592527047365,Android,Samsung
800,22,0.6,4,32,1GB,8,1,1,157,1660.3725073259995,Android,LG
1100,13,2.8,2,8,0.512GB,4,0,1,956,1078.9101224224212,iOS,Apple
1200,75,1.6,1,32,1GB,1,1,0,-62,882.8037557827176,Android,LG
1100,11,2.5,4,16,2GB,15,1,1,222,222.21064828839997,Android,Samsung
1100,18,1.0,4,16,1GB,6,1,0,414,1431.9770120273486,iOS,Apple
1500,35,0.6,8,32,2GB,2,1,1,470,1097.7267269394536,Proprietario,Motorola
900,7,2.9,4,64,2GB,11,0,1,537,858.299903221269,iOS,Apple
1500,33,0.9,4,32,2GB,2,1,0,767,774.7584555095978,Android,Xiaomi
1000,41,0.8,2,32,1GB,11,0,0,563,834.5161509812799,Proprietario,LG
1100,37,2.9,1,32,2GB,5,1,1,525,1503.7918939256608,iOS,Apple
1400,7,2.4,8,16,0.512GB,5,1,0,298,800.3633723935261,Android,Xiaomi
1400,14,2.0,4,32,0.512GB,4,1,0,342,1035.3085893488685,Android,Xiaomi
1000,11,2.9,2,64,2GB,1,0,1,701,790.6743674021275,iOS,Apple
600,24,0.5,4,3,2GB,8,1,0,239,1085.3037375034849,Android,LG
1300,29,1.1,4,32,2GB,12,1,0,771,946.9238412585566,iOS,Apple
1700,28,2.0,2,32,2GB,2,0,1,390,499.13530780223493,Android,LG
1900,13,2.0,8,32,1GB,7,0,1,392,304.76197712617545,iOS,Apple
800,4,2.3,8,8,1GB,2,1,1,484,995.7182723764784,Android,Samsung
800,5,2.5,4,8,0.256GB,11,1,1,-127,1246.8605403345052,Android,Motorola
1300,25,1.7,2,4,1GB,6,0,0,497,1224.5497557217561,Android,Asus
1100,36,1.0,2,4,2GB,18,1,0,392,957.7299106965382,Android,Motorola
1300,11,2.3,4,16,0.512GB,10,0,1,542,1033.0776036339946,iOS,Apple
1600,53,0.5,4,32,1GB,3,0,1,598,1012.4930402304838,Android,LG
600,12,2.5,2,32,1GB,12,0,0,931,1387.5248451568505,Proprietario,Xiaomi
500,14,0.5,8,16,1GB,6,0,0,191,1423.5268452316798,Proprietario,LG
1800,60,0.5,4,8,2GB,3,0,1,72,2047.3268935236274,Proprietario,Xiaomi
1700,19,1.1,8,8,1GB,4,1,1,699,1864.7243701339116,Android,Xiaomi
500,20,0.5,4,32,2GB,8,0,0,628,815.9791533657346,iOS,Apple
1900,16,2.8,4,32,1GB,4,0,1,834,1045.286766525655,Android,Motorola
500,2,2.4,8,8,1GB,1,1,1,536,732.3970382984269,Proprietario,Samsung
800,28,0.7,4,32,1GB,2,1,1,193,1820.441227372738,Android,Xiaomi
1600,16,1.9,4,16,2GB,5,1,0,597,1604.9781079770898,iOS,Apple
1600,13,2.4,4,32,2GB,3,0,0,421,1192.264558250398,Android,Samsung
1100,55,2.0,1,32,2GB,4,1,0,483,1837.4008624603957,Android,Motorola
1700,113,1.5,1,32,2GB,3,1,0,501,1545.2310266904865,Android,LG
