battery_power,battery_duration,clock_speed,n_cores,storage,ram,principal_camera,wifi,4G,weight,price,operating_system,brand
800,18,2.2,2,4,2GB,1.0,1,False,27,1334.153599615953,Android,Motorola
1000,66,0.5,2,32,2GB,4.0,0,True,81,1214.824487544301,iOS,Apple
500,20,0.5,4,32,2GB,2.0,0,True,520,1497.6454307663907,iOS,Apple
600,4,2.5,4,8,2GB,4.0,0,False,635,1372.1707922916366,iOS,Apple
1800,75,1.2,2,32,1GB,13.0,0,True,365,805.7885435772685,Android,Motorola
1800,360,0.5,1,16,1GB,3.0,0,False,203,557.1905137548395,Proprietario,Xiaomi
1800,13,1.7,8,8,2GB,4.0,1,True,261,229.7382245170836,Proprietario,Xiaomi
1900,95,0.5,4,16,0.512GB,4.0,1,False,414,1396.3586512415386,Android,LG
1400,40,0.5,8,32,1GB,8.0,0,False,1131,1132.1690295271503,Android,Xiaomi
500,16,0.6,4,8,0.512GB,2.0,0,True,703,216.57968454457975,Android,Asus
700,4,2.9,4,8,2GB,2.0,0,False,-158,1625.8861583805424,iOS,Apple
1500,8,2.2,8,32,2GB,5.0,1,True,448,2088.010987730868,Proprietario,Samsung
1800,16,2.8,4,32,1GB,2.0,0,False,454,1758.1218830934197,Proprietario,LG
800,9,2.1,4,16,2GB,7.0,1,False,839,1120.1614557150783,Android,LG
1800,360,0.5,1,32,0.256GB,13.0,1,True,542,1822.1252834103584,Android,Xiaomi
700,35,1.0,2,32,0.512GB,3.0,1,False,-47,971.7649206128908,Proprietario,LG
800,-6,0.5,8,8,2GB,1.0,1,True,375,1094.9597347200406,Android,Samsung
500,18,0.9,2,16,2GB,7.0,0,True,642,889.2876920272818,Proprietario,Xiaomi
1100,44,0.5,4,32,1GB,11.0,0,False,756,1943.5175908420008,iOS,Apple
600,30,0.5,4,16,2GB,4.0,1,False,711,1331.9750165164048,Android,LG
700,9,1.1,8,32,2GB,12.0,0,False,900,931.5282154261288,Android,Asus
1700,40,2.1,2,8,2GB,1.0,0,False,259,1489.3157293410077,Android,Xiaomi
1900,18,2.6,4,32,1GB,4.0,1,False,927,691.0908429271738,Android,Samsung
1600,19,2.8,2,32,1GB,4.0,0,True,878,1221.7932738222462,iOS,Apple
500,13,1.2,2,8,2GB,5.0,0,True,727,1330.3389982883016,iOS,Apple
900,8,1.4,8,32,2GB,4.0,1,True,664,449.6303811882896,iOS,Apple
500,7,1.6,4,32,2GB,7.0,1,True,565,98.85492907242929,Android,Asus
900,25,0.5,8,32,2GB,1.0,0,True,1068,1506.676311015755,Android,Asus
1400,43,1.6,2,32,2GB,12.0,1,True,557,1776.2632441253932,Android,Asus
800,32,0.5,4,16,0.256GB,3.0,1,False,318,1788.1348576431355,iOS,Apple
1500,42,0.5,8,4,2GB,12.0,1,False,511,1184.6188109061168,Android,Xiaomi
1500,37,0.5,8,32,0.256GB,16.0,1,False,702,2255.9744064451984,Android,Xiaomi
1300,144,0.9,1,32,2GB,3.0,1,True,255,909.388980186078,Android,Asus
1300,14,2.2,4,32,2GB,4.0,0,True,643,1029.610384188964,iOS,Apple
600,2,2.7,8,16,1GB,2.0,0,False,490,1230.6642145951594,Android,LG
700,6,1.3,8,32,1GB,16.0,0,False,3,1492.180401638047,Proprietario,Asus
500,5,2.3,4,32,2GB,1.0,1,False,198,1175.7364115843748,iOS,Apple
1700,53,1.6,2,4,2GB,6.0,0,True,674,803.5976547673285,Android,Samsung
700,5,2.0,4,8,2GB,16.0,1,True,337,1487.9778565225993,Android,Motorola
500,50,0.5,2,32,2GB,15.0,0,False,453,1173.0159731287283,Android,Xiaomi
1300,44,2.9,1,32,2GB,5.0,1,False,663,1508.6858027945464,iOS,Apple
1600,34,2.3,2,32,2GB,8.0,0,True,-418,1537.863447768667,iOS,Apple
1200,120,0.5,2,4,1GB,5.0,0,True,134,519.5712476325026,iOS,Apple
1600,53,1.0,2,32,1GB,5.0,0,True,469,283.48607107531427,iOS,Apple
1100,19,2.8,2,16,0.256GB,1.0,0,True,708,838.8417925553701,iOS,Apple
1500,17,2.9,2,16,1GB,12.0,1,False,252,631.1336644505241,iOS,Apple
1700,19,1.1,8,32,2GB,1.0,0,False,34,1445.9437264227097,Android,LG
1000,7,1.8,8,32,2GB,3.0,1,True,54,1257.0477815545855,Android,Samsung
500,2,2.6,8,32,1GB,2.0,1,True,282,964.1768702382694,Android,Xiaomi
500,2,2.1,8,64,2GB,9.0,0,False,83,692.3618345695627,Proprietario,LG
1500,16,3.0,2,8,2GB,2.0,1,True,558,926.7322072679864,iOS,Apple
1700,15,1.4,8,32,2GB,5.0,0,False,743,1642.54640823826,Android,Samsung
1600,53,1.5,2,32,2GB,8.0,0,True,789,1052.3399270633172,Android,Samsung
1400,24,1.9,2,16,1GB,1.0,1,True,260,1331.308020121991,Android,LG
1000,28,0.5,8,32,2GB,12.0,0,False,367,978.6594489671952,iOS,Apple
1900,30,2.1,2,32,2GB,10.0,0,True,965,1794.2862480618178,iOS,Apple
800,3,2.7,8,32,0.512GB,13.0,1,False,806,1891.4645172770408,iOS,Apple
